MinTemp,MaxTemp,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,Rainfall,RainToday,RainTomorrow
17.5,32.3,41,7,20,82,33,1010.8,1006,7,8,17.8,29.7,1,0,0
15.9,21.7,31,15,13,89,91,1010.5,1004.2,8,8,15.9,17,2.2,1,1
15.9,18.6,61,28,28,76,93,994.3,993,8,8,17.4,15.8,15.6,1,1
14.1,20.9,22,11,9,69,82,1012.2,1010.4,8,1,17.2,18.1,0,0,1
13.5,22.9,63,6,20,80,65,1005.8,1002.2,8,1,18,21.5,16.8,1,1
12.5,24.2,50,11,22,78,70,1005.6,1003.4,8,8,12.5,18.2,1.2,1,0
24.4,34,98,26,48,60,39,1005.3,997.8,4,1,26.1,33.1,0.6,0,1
18.4,31.2,37,7,11,66,31,1009.3,1007.8,7,8,18.7,29.4,0.4,0,0
16.1,21.6,46,11,15,58,69,1017,1017.3,2,8,17,17.3,0,0,1
12.9,29.6,46,7,24,54,14,1014,1012.7,6,7,18.7,28.6,0,0,0
8.9,31.9,43,0,17,49,16,1016.6,1013.4,7,7,15,29.3,0,0,0
14.6,30,37,4,19,56,30,1014.8,1012.7,3,1,18.1,29,0,0,0
15.4,22.3,30,11,9,69,78,1017.4,1019.2,8,8,18.3,19.6,0.4,0,1
18.4,28.1,98,7,17,92,49,1018.8,1012.9,8,6,19,27.4,8.6,1,1
11.6,26.7,48,6,11,59,42,1021.5,1017.7,8,7,16.4,24.3,0,0,1
13,24.9,46,6,11,75,47,1024.4,1020.3,8,6,18,24.4,8.4,1,1
6.6,21.6,26,6,11,59,39,1018.5,1016.8,5,1,12.6,21.6,0,0,0
10.6,16.2,39,7,4,74,86,1008.9,1002.4,8,8,14.9,15.1,0,0,1
12.9,15.8,70,19,15,83,89,1004.8,1000.9,8,8,13.3,14.5,20,1,1
8.6,12.9,63,26,31,77,62,1004,1003.3,8,8,9.5,11.6,21,1,1
4.5,11.5,26,9,13,82,79,1013.8,1013.5,8,8,7.6,9.4,3.2,1,1
7.6,14.5,35,15,20,83,48,1018,1018.3,8,1,10.1,14,4.8,1,0
7.2,19.2,22,7,6,81,49,1026.9,1024,8,4,10.1,19.1,0,0,0
6.9,16.3,35,17,19,77,59,1015.3,1013.1,8,8,10.3,15.3,0,0,0
10.3,16.6,54,13,19,82,63,1015,1011,8,7,12.9,15.9,0,0,1
12.4,16.4,52,22,24,82,54,1011.8,1013.4,8,8,13,14.5,1.8,1,0
5.1,18.6,13,2,9,75,57,1022.8,1020.5,7,7,12.4,18,0,0,0
9.3,20.3,31,9,22,77,50,1024.6,1019.7,2,8,11.6,19.5,0,0,1
11.6,18.1,19,2,6,97,74,1021.4,1019.2,8,3,13.6,17.4,4.2,1,0
8,14.3,13,0,0,88,75,1031.9,1029.2,8,8,9.2,14,1.2,1,1
8.4,13.4,13,0,7,78,75,1029.3,1026.2,8,8,10.6,13.4,1.4,1,1
10.6,14.3,13,6,9,85,97,1023.5,1020.4,8,8,12.4,13,4.8,1,1
8.9,17.4,13,2,4,99,58,1021,1017.5,8,7,11.3,16.5,8,1,0
1.7,10.5,11,4,0,99,91,1015.2,1011.1,8,8,4.7,10.2,0.2,0,1
4.7,11.6,30,6,17,93,80,1007.5,1006.3,8,8,10,11.5,14.4,1,1
9,12,33,9,26,88,79,1009.6,1008.7,8,8,10.3,11.4,4.6,1,1
6.3,8.8,43,13,13,92,95,1011.1,1008.3,8,8,6.8,7.9,2,1,1
-1.3,8.2,15,6,6,99,72,1025.7,1022.2,8,7,1.9,7.9,0,0,0
0.9,17.3,28,4,17,85,56,1025.7,1020.6,7,8,7,16.7,0,0,1
7,17,46,4,20,99,71,1021.9,1018.6,1,1,8.3,16.4,1.6,1,1
5,14.9,19,4,6,99,78,1020.7,1018.6,1,8,9.1,13.6,5.6,1,0
3.9,15.5,35,11,7,99,70,1020.2,1016.4,8,6,8.3,15.2,0,0,1
7.7,14.1,41,7,9,81,65,1014.9,1012.7,8,5,9.6,13.7,6,1,0
4.7,12.2,24,2,13,99,75,1015.5,1012.7,7,8,6.9,11.6,0,0,1
8.4,11.9,22,7,6,79,81,1007.8,1005.5,8,8,10.3,11.3,0,0,1
9.3,12.3,22,9,11,98,76,1007.5,1006.6,7,8,9.8,12.3,5.4,1,1
8.2,15.7,26,9,15,91,69,1011.4,1009.4,8,8,10.1,15.6,3.6,1,1
9.1,16.1,72,11,19,78,73,1007.6,1001,8,8,13.5,15.3,2,1,1
8.3,13.3,52,20,22,85,68,1006.5,1005.2,8,5,9.5,13.1,8.4,1,1
8.8,11.6,54,19,19,88,74,1009.4,1006.8,8,4,8.8,11.4,5,1,1
7.6,12,61,17,22,82,62,1008.6,1009.6,8,1,7.8,11.7,7.8,1,0
5.7,13.2,39,15,24,91,76,1016.3,1014.9,8,8,7.9,12.6,0,0,0
4.8,13.3,24,0,13,96,63,1020.5,1015.6,7,1,8.1,13.2,0.6,0,0
8.1,16.5,33,7,19,77,53,1010.4,1007.7,2,6,11.6,15.4,0.6,0,0
5.9,13.1,41,13,11,82,73,1007.6,1005.5,8,8,9,12.3,1,0,1
6.9,11,30,9,9,94,75,1006.6,1005.8,8,8,7.5,10.1,6.8,1,1
-1,12,20,0,11,98,64,1023,1019.5,7,5,3.2,11.2,0,0,0
3.2,14.1,24,7,11,94,65,1021.6,1019.8,8,8,7.8,13.5,0.6,0,0
6.6,12.3,44,7,20,74,81,1009.5,1006.2,7,8,11.3,10.2,0,0,1
6,13.5,26,13,17,83,58,1015.1,1018.4,7,7,8.5,12.9,9.8,1,0
1.3,8.8,20,6,9,99,91,1019.9,1019.9,8,8,4.2,7.3,0,0,1
4.2,12.7,31,11,11,89,71,1024,1023.1,8,8,8.8,12,3.8,1,1
8.3,13.2,24,11,9,98,81,1026,1025.4,8,8,9.3,12.1,2.4,1,0
3.3,12.1,22,0,9,99,76,1025.8,1022.7,7,7,6.5,12,0.2,0,1
6.5,14.5,35,19,22,81,61,1021.3,1021.5,5,8,11.6,12.7,5.2,1,0
7.4,13.9,30,0,15,99,70,1026.8,1025.3,7,3,8.9,13.3,0.2,0,0
7.5,14.1,30,2,17,94,65,1027.9,1024.8,1,6,10.5,13.3,0.8,0,0
5.7,13.8,19,7,7,98,76,1022.2,1020.2,8,8,8.9,13.6,5.4,1,0
8,13.9,57,35,33,79,47,1012.8,1015.6,8,8,9.8,13.7,0.8,0,1
5.9,17.7,43,19,22,62,59,1009,1008.6,1,1,14.8,15.6,0.4,0,1
6.9,14.3,24,6,13,99,74,1011.5,1010,8,8,9.1,13,4.8,1,0
7.7,11.6,22,6,13,94,87,1015.7,1015.3,8,7,9.4,11.1,0.2,0,1
5.1,15.5,39,11,11,79,70,1012.2,1006.4,8,8,11,14.3,1.6,1,1
1.6,16.4,17,7,7,99,61,1027.7,1022.5,8,1,5.5,15.2,0,0,0
7.3,14.8,59,26,30,72,85,1004,1001.7,3,8,13.3,10.1,1,0,1
5.8,18.9,26,7,11,94,67,1011.5,1007.1,3,3,10.8,18.2,3.8,1,1
7.2,17.9,59,20,19,81,80,1002.6,996.9,1,8,13,17.5,4.2,1,1
6.3,11.1,56,26,20,77,57,1014.2,1015.2,8,8,6.7,10.7,13.4,1,1
6.7,14.2,39,19,22,90,72,1018.9,1016.8,7,5,9.7,13.9,1.4,1,1
5.1,14.2,24,7,15,96,58,1023.2,1021.7,8,1,9.7,12.5,3,1,0
5.7,16.5,46,7,30,90,59,1009.9,1009,5,4,9.4,15.3,0,0,0
7.5,14.3,35,17,22,82,67,1012.8,1011.3,8,8,9.5,13.4,0,0,0
5.4,20.6,22,6,11,98,46,1018.8,1015,8,8,10.2,19.2,0,0,0
11.5,20.2,50,17,13,77,55,1002.6,999.2,8,1,15.5,19.2,8.4,1,1
9.3,16.8,56,26,30,82,54,997.8,1003.8,5,8,13.1,15.9,28.8,1,1
5.3,20.6,44,22,13,60,57,1009.3,1002.9,2,7,15.2,17.3,0,0,1
6.8,12.2,56,37,24,79,72,1005.2,1003.9,7,6,7.9,11.1,6,1,1
4.5,12.9,61,35,37,78,72,1009.8,1008.4,5,8,6.7,10.7,1.6,1,0
8.5,13.5,31,17,11,87,75,1014,1015.1,7,7,9.6,13,3.2,1,1
5.2,16.2,37,6,15,85,77,1020.2,1018.3,2,2,8.8,10,0,0,1
6.6,17.7,50,17,30,70,71,1001.9,997.6,7,6,10.8,14.8,2,1,1
9.5,15.1,65,26,30,88,60,1000.5,1002.7,8,1,10.3,14.1,7,1,1
9.7,15.7,50,15,22,79,84,1008.5,1007.8,8,8,11.1,10.9,1.4,1,1
19.3,21,37,9,9,95,91,1010.8,1009,8,8,19.7,20.8,10.6,1,1
18.3,28.3,61,0,46,98,67,1003.7,1003.5,8,8,19.2,25.6,25.8,1,0
21,34.5,78,13,39,48,70,1012.2,1008.4,1,4,28.2,25.2,0,0,1
15.9,26.2,24,11,0,82,56,1010.7,1008.6,7,5,17.6,24.7,10.2,1,0
17.1,26.4,52,24,24,48,27,1006.5,1002.7,2,1,18.8,25.7,0,0,1
12.8,22.3,46,6,19,94,54,1000.5,1000.9,8,4,13.5,20.7,9.4,1,1
13.2,23.9,50,9,24,82,35,1010.3,1009.3,3,1,15.9,23.6,2.4,1,0
18.2,24.9,54,13,28,58,45,1006.9,1006,7,5,21,21.8,0,0,1
14.2,27.4,52,6,19,52,26,1008.9,1004.7,7,7,19.7,25.6,0,0,0
9.2,22.6,41,19,20,62,30,1016.9,1016.3,6,3,12.8,21,1,0,0
18.8,28.3,31,0,6,84,49,1009.8,1008,5,1,20.9,27.5,9.8,1,0
16.8,25.6,57,20,35,51,24,1006.9,1005.5,4,1,18,24.1,0,0,0
10.5,22.6,52,22,30,44,30,1007.7,1007,2,8,14.4,20.5,0,0,0
19.2,26.1,33,9,13,83,70,1009.9,1009.4,4,8,22.1,25,52.2,1,1
23,34,37,7,11,66,32,1020.8,1017.8,7,7,25.9,33.8,0,0,0
20.8,27.1,24,9,11,82,59,1009.9,1007.9,8,1,21.2,26.6,0,0,0
20.5,30.3,41,7,20,80,43,1006.8,1003.9,8,8,21.7,28.9,0,0,0
15.7,31.8,57,7,19,70,35,1018.9,1014.3,1,2,19.6,30.9,0,0,0
19.6,34.7,59,6,24,71,59,1015.3,1011.2,3,8,23.8,27.3,0.6,0,1
20.2,26.4,46,4,9,83,70,1014.6,1011.9,8,8,21.3,24.2,3.6,1,0
18.8,30.3,39,9,7,87,48,1010,1009,8,1,22.3,29.4,20.6,1,1
18.3,22.9,39,15,13,89,82,1013.3,1008.8,8,7,19,21.1,5.8,1,1
15.7,22.4,46,20,17,90,67,1014.4,1015.9,8,8,16.3,19,6.2,1,0
18.2,26.3,26,7,20,94,61,1015.8,1014.9,7,5,18.2,24.8,11,1,0
15.7,23.4,30,17,9,87,69,1012.8,1010.5,8,3,19.2,23.2,3,1,1
13.5,23.1,46,13,20,84,53,1016.7,1015.3,1,1,17.5,23,3.2,1,0
14.1,18.6,22,6,11,84,79,1011.6,1009,8,8,16.7,18.3,0.2,0,1
14.2,18.7,57,17,35,86,43,1010.1,1010.2,8,2,15.9,17.8,7,1,0
11.2,25.9,17,0,9,81,46,1025.7,1021.9,2,3,14.6,25.6,0,0,0
11.8,25.2,26,2,13,79,49,1024.6,1020.1,1,1,16.4,24.3,0,0,0
15.4,19.8,46,11,28,95,86,1013.4,1008.7,8,8,17.1,18.6,3.6,1,1
7.1,16.1,17,0,7,84,58,1020.9,1018,6,7,9.7,15.9,0,0,1
9.7,17.3,30,6,17,84,50,1022,1019.6,1,1,12.4,16.9,1.6,1,0
10.5,17.7,28,7,11,79,69,1021.9,1020.4,5,8,14.3,17,0.4,0,0
8,25.3,61,7,26,92,29,1017.8,1011.2,8,4,11.9,24.8,0.2,0,1
7.1,15.3,35,11,9,78,68,1022.3,1021.6,8,8,10.8,15.3,0,0,0
5.7,17.5,20,2,6,89,56,1024.7,1021.7,8,6,10.2,16.8,0,0,0
9.6,19.3,13,0,0,84,59,1023.7,1021.1,6,1,13,18.6,0,0,0
5.7,19.5,17,7,4,99,54,1023.4,1019.6,8,1,9.2,18.6,0,0,0
10.2,14.9,26,7,7,88,99,1008.7,1005,7,7,13.5,12.8,10.4,1,1
5.7,16.6,11,0,9,92,59,1019.6,1018,8,8,9.7,16.5,0.2,0,0
6.4,17,22,0,13,96,63,1019.4,1014.3,8,6,9.4,17,0,0,1
9.4,15,26,9,11,99,89,1005.7,1002.8,8,8,12.1,14,28,1,1
8.8,20.2,46,11,31,99,47,1004.7,1004.8,8,1,10.8,19.6,5.8,1,0
3.1,12.2,19,2,11,89,49,1023.7,1019.5,7,7,5.3,11.6,0,0,0
5.3,8.4,37,11,13,81,92,1012.9,1011.1,7,8,7.8,7.9,0,0,1
7.2,13.2,28,6,13,82,66,1023,1019.7,7,7,9.2,12.8,0,0,0
-0.3,12.8,11,2,9,92,65,1032.3,1028.3,6,1,3.4,12.4,0,0,0
1.5,15.5,52,4,9,91,73,1027.4,1022.1,1,7,7.4,13.5,0,0,1
3,12.2,24,7,13,88,70,1019.6,1018,7,2,6.9,10.9,2.2,1,1
3.6,13.1,39,0,2,98,86,1027.2,1026.7,8,8,7.7,12.7,0,0,0
3.4,17,24,4,17,85,56,1030.1,1024.7,3,1,8.3,16.9,0,0,0
7,16.1,31,9,2,83,95,1021.9,1018.6,8,8,12.1,13.2,0,0,1
6.2,12.1,35,4,4,86,71,1020.5,1020.5,7,8,7.6,11.1,10.2,1,0
0.6,11.9,22,2,11,99,54,1024.3,1021.8,1,2,2.8,11.5,0.2,0,0
-0.6,8.3,52,7,9,99,70,1022.7,1020.3,8,7,2.3,8.2,0,0,0
2.3,9.4,20,9,13,71,57,1021.2,1019.4,8,8,6.5,9.1,0,0,0
5.1,9.8,24,6,9,81,78,1020.7,1019.6,8,8,6.3,8.8,0.2,0,1
3.2,11.9,13,0,6,99,67,1025.2,1024.3,7,7,5.5,10.4,1.2,1,0
0.2,10.9,19,2,7,99,70,1027.6,1024,8,4,3.2,10.2,0.2,0,0
1.8,12.1,22,7,0,99,70,1027.5,1022.8,8,3,2.4,11.7,0.2,0,1
5,15.4,28,4,11,99,62,1020.6,1019.6,8,1,11.8,15.2,13.4,1,0
3.5,16.3,59,7,13,98,93,1016.8,1008.9,8,8,6.2,12,0,0,1
6.2,10,57,24,19,82,91,1009.2,1008.7,8,8,8.5,9.1,21.4,1,1
0.6,13.1,48,2,2,99,56,1028.7,1026.3,8,2,2.9,13,0,0,0
-0.4,11.5,15,6,0,99,69,1029.2,1025.9,8,4,2.8,10.8,0,0,0
5,13.5,20,4,4,99,61,1018.8,1017.8,8,8,7.7,13.4,1.6,1,0
0.5,11.6,19,7,11,99,62,1025.4,1024,8,1,3.1,11.5,0.2,0,0
-0.5,13.8,19,0,11,89,51,1032.7,1030.7,7,1,4,12.4,0,0,0
5.8,14.8,20,0,9,99,80,1018.5,1014.9,8,8,10.3,14,6.2,1,0
8.9,14.9,30,2,13,91,86,1015.5,1013.5,8,8,11.1,14.1,0,0,1
7.5,12.3,30,4,19,100,85,1013.7,1015.6,8,8,11.1,11.6,2.2,1,1
7.5,10.1,41,20,11,86,93,1016.3,1014.6,8,8,9.3,7.3,4.2,1,1
5.4,14.7,39,15,19,85,56,1019.5,1018.7,4,8,7.8,13.7,18.6,1,0
0.7,12.6,22,6,13,99,59,1024.5,1022.8,8,1,3.2,12.2,0.2,0,0
4.4,16,41,9,15,86,77,1013.9,1008.7,8,8,9.7,15.2,7.2,1,1
7.2,10.4,33,11,13,96,85,1006.2,1000.1,8,8,7.7,10,8.2,1,1
1.6,15,20,0,9,99,56,1016.7,1013.5,8,1,6.5,14.5,0,0,0
7.2,12.1,46,11,13,83,94,1004.5,1004.4,8,8,10.7,10.9,1.8,1,1
6.4,11.8,56,17,24,94,65,1013.8,1013.8,8,6,7.7,11.3,10.2,1,1
1.3,11.8,31,0,20,92,86,1016.9,1006.3,4,8,5,8.7,0.2,0,1
5,15.1,57,15,30,85,56,1008.2,1007.8,8,6,11.6,14.5,15.4,1,1
4.5,11.7,46,20,30,82,58,1015.7,1014.8,4,5,6.4,10.4,2,1,0
6.3,12.9,39,17,19,86,68,1018.7,1017.8,8,3,7,12,0,0,0
4.1,12.8,17,6,7,91,61,1017.7,1012.6,8,8,6.4,12,0.2,0,1
6.4,13.3,67,19,22,90,55,1013.2,1010.3,8,8,9.4,11.7,1.8,1,1
4.2,10.7,65,13,24,87,65,1010.9,1005.5,8,8,5.4,10.1,1.8,1,1
5.4,11.8,50,20,15,84,70,1003.1,1001,8,8,7.3,11.2,9.6,1,1
0.9,14.4,22,6,4,99,58,1024.4,1024,8,3,4.1,13.3,0,0,0
1.9,15.2,15,2,6,85,57,1029.6,1027.2,5,7,7.1,14.1,0,0,0
7.1,15.1,17,7,6,86,71,1015.8,1014.9,7,8,11.2,14.2,0,0,0
10,16.8,33,0,9,92,68,1016.5,1016,7,5,10.9,16.1,0.8,0,0
10.1,17.7,70,24,24,96,87,1004.7,999,8,8,15.1,14.8,21.8,1,1
9.8,14.2,72,22,19,81,67,1011.7,1013.8,8,7,10.6,13.2,20.8,1,1
6.8,12.8,50,11,13,89,64,1019.7,1018.7,8,6,9.5,12.5,2.4,1,1
7.2,14.7,39,7,11,76,90,1015.6,1009.7,8,8,11.1,11.9,0,0,1
8.1,14,50,28,22,91,86,1004.5,1006,8,8,10.9,11,24.8,1,1
7.5,13.4,54,20,28,64,49,1019.2,1017,6,3,10.2,13.1,0,0,0
3.3,13.9,31,11,19,67,60,1021.8,1018.8,6,8,9.8,13.5,0,0,0
2.4,16.4,30,2,17,90,55,1022.7,1020.8,8,2,9,16.2,0,0,0
8.6,20.1,26,2,6,70,48,1025.8,1021.7,5,8,14.7,19.1,0,0,0
3.7,19.1,33,2,17,96,61,1023.9,1020.7,8,2,9,18.3,0,0,0
14.5,19.9,31,7,19,91,66,1027.7,1023.9,8,8,14.7,19.5,0.8,0,1
13.8,18.6,63,28,4,93,90,989.8,982.9,8,8,18.5,17.1,22.2,1,1
6.3,15.4,35,15,17,77,56,1016.1,1016.3,7,8,9.5,14.7,0,0,0
9.2,17.4,39,2,20,74,50,1019.9,1019.4,7,1,12.5,17.1,0,0,0
14.8,19,28,6,15,81,77,1016.8,1016.8,8,5,17.4,17.2,0.4,0,1
10.9,22.2,22,4,11,77,47,1022.4,1018.5,4,1,14.6,20.8,0,0,0
16,19.5,33,7,19,95,96,1010.7,1008.4,8,8,17.6,18.6,3.4,1,1
13.8,18.7,52,17,22,78,67,1011.3,1012,8,8,15.5,17.6,50.8,1,1
10.2,18.9,35,6,19,79,52,1016.5,1013.8,7,1,12.5,17.5,1.2,1,0
10.1,18.8,33,13,15,61,48,1020.8,1019,8,5,13.3,18.2,0,0,0
14.7,24.7,31,11,20,71,64,1013.8,1014.7,7,4,19.4,23.4,2.2,1,0
21.1,26.9,61,13,24,63,78,1012.1,1011,7,3,24.4,24.8,0,0,1
17.9,24.2,39,13,9,92,68,1018.1,1015.5,8,8,18.5,23.6,4,1,1
13.6,22.6,43,20,22,69,51,1013.6,1012.7,5,2,16.6,21.7,14.8,1,1
17.3,29.9,44,2,17,65,48,1012.6,1009.3,1,6,22.5,28.6,1.2,1,0
21.3,29.8,43,24,26,50,44,1011.5,1008.8,1,8,25.5,29,0,0,1
20.3,29.7,61,22,35,82,55,1009.4,1005,8,7,21.4,29.1,3.2,1,1
18,26.7,39,11,20,85,50,1009.1,1007.2,8,8,20.5,26,25.6,1,0
10.4,18,61,9,13,71,55,998.8,994.3,8,8,15,17.4,3,1,1
8.6,20.5,52,20,22,79,50,1002.3,1004.3,7,8,10.8,18.6,6.2,1,1
21.6,26.4,37,13,15,81,87,1011.7,1009.4,8,8,22.5,23,1.4,1,1
22.1,30.6,41,6,28,86,59,1009.5,1006.5,8,8,24.4,29.5,14.2,1,1
20.4,23,28,11,4,97,95,1008.6,1007.3,5,8,22.5,22.5,99.2,1,1
19.8,24.8,54,15,9,98,94,1013.4,1011.5,8,8,20.4,22,39.8,1,1
18.7,28.5,28,7,19,88,57,1014.2,1012.9,8,4,19.6,28.2,28.2,1,0
18.9,29.2,30,0,4,90,55,1012.9,1010.8,8,5,19.9,28.1,5.8,1,0
19.3,30.7,52,13,15,68,51,1013.7,1010.3,1,1,22,30.4,0,0,1
16.7,25.7,43,13,26,80,50,1010.1,1009.7,8,5,19.4,25.2,12.8,1,0
19.6,24.8,20,6,7,87,87,1009.9,1009,8,8,20.4,21.1,0.2,0,1
17.9,30,20,7,11,85,55,1007.8,1003.7,4,7,20.4,28.5,11.8,1,0
18.7,20.8,22,9,13,92,95,1012.3,1011.9,8,8,19.8,19.6,13.4,1,1
12.8,26.3,20,9,11,77,47,1015.4,1012.4,1,1,16.2,25.2,0,0,0
18.6,26.8,37,0,13,82,58,1001.4,1000.3,8,5,20.1,26,0,0,0
16.3,20.1,37,15,22,76,63,1005.7,1005.3,8,8,16.4,18.4,0,0,1
13.9,22,44,13,19,90,64,1003.7,1003.8,8,3,15.7,20.7,8,1,0
13.3,22.1,43,17,17,77,49,1011.8,1012.6,3,8,14.9,20.9,0,0,0
11.5,25.7,26,0,11,86,52,1024,1020.2,8,8,14.8,24.3,0,0,0
12.3,25.8,33,9,6,87,55,1018.7,1015.6,5,8,15.6,24.1,0,0,0
8.7,20.4,15,0,9,81,66,1019.6,1016.3,4,8,12.8,19.5,0,0,0
